Country Name,Year,Indicator Name,Value
"Gambia, The",2019,"Enrolment in primary education, female (number)",195302
"Gambia, The",2018,"Enrolment in primary education, female (number)",181513
"Gambia, The",2017,"Enrolment in primary education, female (number)",170065
"Gambia, The",2016,"Enrolment in primary education, female (number)",158636
"Gambia, The",2015,"Enrolment in primary education, female (number)",150320
"Gambia, The",2014,"Enrolment in primary education, female (number)",140057
"Gambia, The",2013,"Enrolment in primary education, female (number)",129727
"Gambia, The",2012,"Enrolment in primary education, female (number)",123765
"Gambia, The",2011,"Enrolment in primary education, female (number)",115523
"Gambia, The",2010,"Enrolment in primary education, female (number)",115160
"Gambia, The",2009,"Enrolment in primary education, female (number)",113594
"Gambia, The",2008,"Enrolment in primary education, female (number)",113014
"Gambia, The",2007,"Enrolment in primary education, female (number)",111122
"Gambia, The",2006,"Enrolment in primary education, female (number)",105380
"Gambia, The",2005,"Enrolment in primary education, female (number)",103520
"Gambia, The",2004,"Enrolment in primary education, female (number)",102143
"Gambia, The",2003,"Enrolment in primary education, female (number)",96549
"Gambia, The",2002,"Enrolment in primary education, female (number)",86373
"Gambia, The",2001,"Enrolment in primary education, female (number)",86009
"Gambia, The",2000,"Enrolment in primary education, female (number)",81056
"Gambia, The",1999,"Enrolment in primary education, female (number)",77910
"Gambia, The",1998,"Enrolment in primary education, female (number)",63748
"Gambia, The",1997,"Enrolment in primary education, female (number)",59086
"Gambia, The",1996,"Enrolment in primary education, female (number)",54343
"Gambia, The",1995,"Enrolment in primary education, female (number)",48271
"Gambia, The",1994,"Enrolment in primary education, female (number)",44372
"Gambia, The",1993,"Enrolment in primary education, female (number)",40314
"Gambia, The",1992,"Enrolment in primary education, female (number)",36870
"Gambia, The",1989,"Enrolment in primary education, female (number)",28540
"Gambia, The",1987,"Enrolment in primary education, female (number)",28903
"Gambia, The",1986,"Enrolment in primary education, female (number)",28059
"Gambia, The",1985,"Enrolment in primary education, female (number)",26382
"Gambia, The",1984,"Enrolment in primary education, female (number)",24180
"Gambia, The",1983,"Enrolment in primary education, female (number)",21058
"Gambia, The",1982,"Enrolment in primary education, female (number)",18680
"Gambia, The",1981,"Enrolment in primary education, female (number)",16250
"Gambia, The",1980,"Enrolment in primary education, female (number)",12474
"Gambia, The",1979,"Enrolment in primary education, female (number)",10481
"Gambia, The",1978,"Enrolment in primary education, female (number)",8931
"Gambia, The",1977,"Enrolment in primary education, female (number)",8235
"Gambia, The",1976,"Enrolment in primary education, female (number)",8169
"Gambia, The",1975,"Enrolment in primary education, female (number)",7424
"Gambia, The",1974,"Enrolment in primary education, female (number)",6606
"Gambia, The",1973,"Enrolment in primary education, female (number)",6070
"Gambia, The",1972,"Enrolment in primary education, female (number)",5395
"Gambia, The",1971,"Enrolment in primary education, female (number)",5251
"Gambia, The",2019,"Teachers in primary education, female (number)",3656
"Gambia, The",2018,"Teachers in primary education, female (number)",3443
"Gambia, The",2017,"Teachers in primary education, female (number)",3039
"Gambia, The",2015,"Teachers in primary education, female (number)",2614
"Gambia, The",2014,"Teachers in primary education, female (number)",2085
"Gambia, The",2013,"Teachers in primary education, female (number)",2086
"Gambia, The",2012,"Teachers in primary education, female (number)",2184
"Gambia, The",2011,"Teachers in primary education, female (number)",1739
"Gambia, The",2010,"Teachers in primary education, female (number)",1745
"Gambia, The",2008,"Teachers in primary education, female (number)",2146
"Gambia, The",2007,"Teachers in primary education, female (number)",2006
"Gambia, The",2006,"Teachers in primary education, female (number)",1864
"Gambia, The",2005,"Teachers in primary education, female (number)",1883
"Gambia, The",2004,"Teachers in primary education, female (number)",1710
"Gambia, The",2003,"Teachers in primary education, female (number)",1586
"Gambia, The",2002,"Teachers in primary education, female (number)",1543
"Gambia, The",2001,"Teachers in primary education, female (number)",1510
"Gambia, The",2000,"Teachers in primary education, female (number)",1496
"Gambia, The",1999,"Teachers in primary education, female (number)",1485
"Gambia, The",1998,"Teachers in primary education, female (number)",1255
"Gambia, The",1997,"Teachers in primary education, female (number)",1262
"Gambia, The",1996,"Teachers in primary education, female (number)",1194
"Gambia, The",1995,"Teachers in primary education, female (number)",1045
"Gambia, The",1994,"Teachers in primary education, female (number)",979
"Gambia, The",1993,"Teachers in primary education, female (number)",995
"Gambia, The",1992,"Teachers in primary education, female (number)",880
"Gambia, The",1989,"Teachers in primary education, female (number)",833
"Gambia, The",1986,"Teachers in primary education, female (number)",1078
"Gambia, The",1985,"Teachers in primary education, female (number)",897
"Gambia, The",1984,"Teachers in primary education, female (number)",826
"Gambia, The",1983,"Teachers in primary education, female (number)",778
"Gambia, The",1980,"Teachers in primary education, female (number)",460
"Gambia, The",1979,"Teachers in primary education, female (number)",413
"Gambia, The",1978,"Teachers in primary education, female (number)",332
"Gambia, The",1977,"Teachers in primary education, female (number)",286
"Gambia, The",1973,"Teachers in primary education, female (number)",261
"Gambia, The",1972,"Teachers in primary education, female (number)",183
"Gambia, The",1971,"Teachers in primary education, female (number)",207